Week,Cases,Rainfall Amount,Max Temperature,Minimum Temperature,Relative Humidity,Wind Speed,Wind Direction
7/17/2017,308,11.67142857,32.21428571,25,76.85714286,1.428571429,195.7142857
7/24/2017,229,40.3,30.3,25.77142857,82.85714286,2.142857143,220
7/31/2017,340,9.671428571,31.51428571,25.78571429,82,1.571428571,207.1428571
8/7/2017,490,1.3,33.65714286,25.78571429,75.42857143,1.571428571,278.5714286
8/14/2017,516,19.6,33.45714286,25,77.57142857,1.285714286,272.8571429
8/21/2017,372,23.81428571,31.25714286,24.52857143,82.71428571,1.285714286,237.1428571
8/28/2017,298,11.64285714,32.04285714,25.47142857,80.28571429,1.571428571,274.2857143
9/4/2017,345,1.214285714,33.38571429,25.35714286,73.28571429,1.428571429,288.5714286
9/11/2017,260,34.84285714,31.88571429,25.54285714,79.85714286,1.571428571,241.4285714
9/18/2017,275,8.785714286,32.31428571,24.74285714,81.42857143,1.142857143,170
9/25/2017,259,12.21428571,31.24285714,25.01428571,85.14285714,1.142857143,342.8571429
10/2/2017,192,8.485714286,31.1,24.51428571,81.42857143,1,252.8571429
10/9/2017,196,17.42857143,30.82857143,25.18571429,85.14285714,1.428571429,202.8571429
10/16/2017,260,3.971428571,32.5,25.27142857,76.71428571,1.285714286,220
10/23/2017,189,4.085714286,31.57142857,24.2,73.71428571,1,147.1428571
10/30/2017,209,9.785714286,29.08571429,23.37142857,85.14285714,1,254.2857143
11/6/2017,231,9.571428571,32.22857143,24.11428571,77.42857143,1.428571429,170
11/13/2017,172,1.385714286,32.05714286,24.47142857,77.85714286,1,125.7142857
11/20/2017,161,2.257142857,32.57142857,24.04285714,77.28571429,1.142857143,87.14285714
11/27/2017,133,4.742857143,32.5,24.07142857,75.42857143,1.285714286,91.42857143
12/4/2017,167,5.428571429,31.21428571,24.4,79.42857143,1,208.5714286
12/11/2017,150,1.428571429,29.38571429,22.81428571,73.28571429,1.571428571,201.4285714
12/18/2017,100,5.185714286,29.97142857,23.72857143,81.28571429,1.142857143,275.7142857
12/25/2017,52,1.385714286,30.11428571,22.48571429,77.14285714,1.142857143,167.1428571
1/1/2018,189,0,31.13333333,23.1,69.33333333,1.5,88.33333333
1/7/2018,182,2.914285714,30.92857143,22.82857143,73.14285714,1.571428571,160
1/14/2018,179,4.185714286,30.48571429,22.74285714,72.42857143,1,112.8571429
1/21/2018,157,4.5,29.9,22.77142857,80,1,244.2857143
1/28/2018,143,0.028571429,30.2,22.02857143,73.57142857,1,142.8571429
2/4/2018,160,0,29.85714286,22.12857143,71.14285714,1.428571429,252.8571429
2/11/2018,128,0.085714286,31.7,23.52857143,67.71428571,1.571428571,130
2/18/2018,119,0.057142857,33.08571429,22.27142857,63,1.285714286,78.57142857
2/25/2018,110,0,32.64285714,24.34285714,66.28571429,1.285714286,131.4285714
3/4/2018,106,1.2,32.48571429,23.51428571,66.85714286,1.428571429,178.5714286
3/11/2018,119,0,31.8,22.08571429,64.42857143,1.142857143,212.8571429
3/18/2018,89,0,33.04285714,23.07142857,63.14285714,1.571428571,175.7142857
3/25/2018,82,1.485714286,30.94285714,22.92857143,65.42857143,1,201.4285714
4/1/2018,95,1.714285714,31.5,23.52857143,68.57142857,1.142857143,142.8571429
4/8/2018,73,5.942857143,33.71428571,24.34285714,64.42857143,1.142857143,78.57142857
4/15/2018,99,0,34.25714286,24.07142857,58.42857143,1,164.2857143
4/22/2018,59,6.871428571,34.05714286,24.77142857,64.14285714,1.142857143,128.5714286
4/29/2018,83,2.571428571,34.7,25.05714286,63.57142857,1.142857143,175.7142857
5/6/2018,87,3.6,34.31428571,24.64285714,65.42857143,1,144.2857143
5/13/2018,71,2.714285714,34.5,25.32857143,66,1.142857143,210
5/20/2018,82,2.242857143,34.08571429,25.02857143,72,1,168.5714286
5/27/2018,94,1.3,34.95714286,26.1,66.42857143,1,184.2857143
6/3/2018,89,50.41428571,31.77142857,24.92857143,78.71428571,1.428571429,222.8571429
6/10/2018,113,36.75714286,28.7,24.14285714,87.28571429,1.285714286,234.2857143
6/17/2018,130,16.64285714,32.4,25,77.28571429,1.428571429,252.8571429
6/24/2018,210,7.742857143,31.9,25.17142857,77.28571429,1.428571429,282.8571429
7/1/2018,210,5.328571429,31.9,25.38571429,76,1.571428571,247.1428571
7/8/2018,156,13.48571429,31.04285714,24.74285714,80.42857143,1.571428571,211.4285714
7/15/2018,303,67.94285714,28.74285714,24.57142857,87.42857143,2,222.8571429
7/22/2018,206,14.78571429,29.04285714,24.74285714,86.71428571,1,245.7142857
7/29/2018,285,21.4,31.21428571,25.64285714,81,1.714285714,224.2857143
8/5/2018,380,49.17142857,29.98571429,24.94285714,82.57142857,1.428571429,231.4285714
8/12/2018,299,17.64285714,29.78571429,25.35714286,82.85714286,2.142857143,234.2857143
8/19/2018,355,18.02857143,30.08571429,25.98571429,81,2,235.7142857
8/26/2018,287,3.685714286,32,24.84285714,75.85714286,1.142857143,198.5714286
9/2/2018,304,30.3,30.85714286,24.64285714,81.42857143,1.571428571,237.1428571
9/9/2018,233,40.17142857,30.95714286,24.3,81.85714286,1.428571429,265.7142857
9/16/2018,245,18.07142857,31.95714286,24.3,81.14285714,1.285714286,187.1428571
9/23/2018,300,1.928571429,32.54285714,25.04285714,73.14285714,1.285714286,251.4285714
9/30/2018,347,13.05714286,32.51428571,24.7,73,1,298.5714286
10/7/2018,262,1.542857143,32.87142857,24.5,72.71428571,1,145.7142857
10/14/2018,233,3.6,32.51428571,23.8,76.71428571,1,132.8571429
10/21/2018,235,0.114285714,32.68571429,24.05714286,69.71428571,1,134.2857143
10/28/2018,202,7.185714286,31.92857143,24.42857143,72.28571429,1.571428571,184.2857143
11/4/2018,151,0,32.28571429,23.88571429,69.85714286,1.285714286,78.57142857
11/11/2018,182,0,33.01428571,23.44285714,65.14285714,1.142857143,150
11/18/2018,137,0.371428571,31.47142857,23.75714286,71.71428571,1.142857143,167.1428571
11/25/2018,156,0,31.55714286,23.38571429,70.57142857,1.285714286,150
12/2/2018,129,0.571428571,32.78571429,23.17142857,70,1.285714286,132.8571429
12/9/2018,160,4.2,30.87142857,23.21428571,75.71428571,1,135.7142857
12/16/2018,112,0.428571429,30.4,23.05714286,74.14285714,1,51.42857143
12/23/2018,110,13.6,28.98888889,23.06666667,85.77777778,1.222222222,113.3333333
1/1/2019,185,0.68,31.2,22.52,76.4,1.4,168
1/6/2019,230,0,31.34285714,22.11428571,72.71428571,1.571428571,108.5714286
1/13/2019,202,0,31.38571429,20.6,65.85714286,1.714285714,134.2857143
1/20/2019,159,0,30.17142857,23.44285714,65.85714286,1.428571429,98.57142857
1/27/2019,213,0,28.5,21.15714286,69.14285714,1.571428571,90
2/3/2019,142,0.042857143,31.87142857,20.74285714,64,1,188.5714286
2/10/2019,119,0.685714286,31.54285714,21.27142857,64.71428571,1.428571429,134.2857143
2/17/2019,133,0,32.2,20.85714286,60.28571429,1.428571429,152.8571429
2/24/2019,96,0,31.11428571,20.95714286,62.42857143,1.142857143,148.5714286
3/3/2019,92,0,32.78571429,22.64285714,60,1.142857143,181.4285714
3/10/2019,56,0.4,32.22857143,23.52857143,63.71428571,1.285714286,258.5714286
3/17/2019,58,0,33.77142857,22.51428571,55,1.285714286,120
3/24/2019,57,0,33.5,23.71428571,57,1.428571429,137.1428571
3/31/2019,34,0,33.67142857,24.68571429,58.57142857,1.285714286,172.8571429
4/7/2019,43,0,34.4,26.12857143,62.14285714,1.285714286,150
4/14/2019,68,0,34.91428571,25.97142857,59.85714286,1.142857143,215.7142857
4/21/2019,55,0,35.92857143,25.37142857,52,1.428571429,132.8571429
4/28/2019,31,4.485714286,34.74285714,26.07142857,60.85714286,1.428571429,190
5/5/2019,24,13.05714286,32.62857143,25.87142857,75.42857143,1.428571429,222.8571429
5/12/2019,40,0.771428571,34.8,26.94285714,66.71428571,1.142857143,218.5714286
5/19/2019,103,9.028571429,33.58571429,25.61428571,75.57142857,1.142857143,234.2857143
5/26/2019,84,8.557142857,34.62857143,25.55714286,70.71428571,1,181.4285714
6/2/2019,58,2.771428571,35.4,26.34285714,64,1.142857143,101.4285714
6/9/2019,49,8.428571429,33.54285714,26.68571429,73.71428571,1.285714286,217.1428571
6/16/2019,79,3,34.78571429,26.42857143,70.14285714,1.285714286,171.4285714
6/23/2019,100,43.64285714,31.91428571,24.87142857,83,1.428571429,272.8571429
6/30/2019,123,10.94285714,31.77142857,24.98571429,75.85714286,1.142857143,230
7/7/2019,171,7.542857143,33.47142857,25.87142857,72.85714286,1.285714286,194.2857143
7/14/2019,247,11.21428571,30.97142857,25.35714286,81.57142857,1.285714286,215.7142857
7/21/2019,417,16.84285714,32.12857143,24.97142857,79.42857143,1,285.7142857
7/28/2019,465,31.24285714,30.48571429,24.62857143,84.71428571,1.285714286,238.5714286
8/4/2019,447,27.6,29.65714286,25.78571429,83.71428571,1.571428571,220
8/11/2019,587,0.628571429,31.12857143,27.28571429,77.85714286,2.428571429,268.5714286
8/18/2019,689,12.32857143,30.98571429,25.54285714,79.85714286,1.714285714,264.2857143
8/25/2019,782,9.342857143,30.34285714,24.81428571,85.28571429,1.142857143,254.2857143
9/1/2019,689,4.142857143,31.35714286,26.22857143,76.28571429,1.857142857,230
9/8/2019,464,14.07142857,29.97142857,24.41428571,82.71428571,1.285714286,217.1428571
9/15/2019,438,27.57142857,29.34285714,24.55714286,87.14285714,1.571428571,237.1428571
9/22/2019,387,5.271428571,32.65714286,25.02857143,76.57142857,1.142857143,191.4285714
9/29/2019,379,7.885714286,32.11428571,24.7,78.14285714,1.285714286,197.1428571
10/6/2019,380,9.128571429,32.71428571,24.11428571,73.42857143,1,138.5714286
